Código;Descrição;Local
M251560B5A38BD;M25 15X6,0 5X100 A ET38 BLACK DIAMOND;38D       
M251560B5A38HG;M25 15X6,0 5X100 A ET38 HYPER GLOSS;31D       
M251860B4A40BD;M25 18X6,0 4X100 A ET40 BLACK DIAMOND;64E       
M251860B4A40HG;M25 18X6,0 4X100 A ET40 HYPER GLOSS;63D       
M251860B5A40BD;M25 18X6,0 5X100 A ET40 BLACK DIAMOND;54E       
M251860B5A40HG;M25 18X6,0 5X100 A ET40 HYPER GLOSS;54D       
M251870B5A40BD;M25 18X7,0 5X100 A ET40 BLACK DIAMOND;63E       
M251870B5A40HG;M25 18X7,0 5X100 A ET40 HYPER GLOSS;62E       
M251870F5A40BD;M25 18X7,0 5X112 A ET40 BLACK DIAMOND;63E       
M251870F5A40HG;M25 18X7,0 5X112 A ET40 HYPER GLOSS;62D       
M251870G5A40BD;M25 18X7,0 5X114,3 A ET40 BLACK DIAMOND;54D       
M251870G5A40HG;M25 18X7,0 5X114,3 A ET40 HYPER GLOSS;54D       
M261570B435HD;M26 15X7,0 4X100 ET35 HYPER DIAMOND;23D       
M271670S87HD;M27 16X7,0 8X170 ET7 HYPER DIAMOND;8D        
M27F250;CALOTA M27 F250;
M281460A436B;M28 14X6,0 4X98 ET36 BLACK;10D / 13  
M281460A436HG;M28 14X6,0 4X98 ET36 HYPER GLOSS;10E       
M281460B436B;M28 14X6,0 4X100 ET36 BLACK;12E       
M281460B436GS;M28 14X6,0 4X100 ET36 GLOSS SHADOW;11E/C2    
M281460B436HG;M28 14X6,0 4X100 ET36 HYPER GLOSS;10D       
M281460D436B;M28 14X6,0 4X108 ET36 BLACK;14D       
M281460D436GS;M28 14X6,0 4X108 ET36 GLOSS SHADOW;12E       
M281460D436HG;M28 14X6,0 4X108 ET36 HYPER GLOSS;10E       
M281560A438B;M28 15X6,0 4X98 ET38 BLACK;37E       
M281560A438GS;M28 15X6,0 4X98 ET38 GLOSS SHADOW;28 /36 / 3
M281560A438HG;M28 15X6,0 4X98 ET38 HYPER GLOSS;33E/39D   
M281560B438B;M28 15X6,0 4X100 ET38 BLACK;30 ELEV B1
M281560B438GS;M28 15X6,0 4X100 ET38 GLOSS SHADOW;28/29/39  
M281560B438HG;M28 15X6,0 4X100 ET38 HYPER GLOSS;31D/32E   
M281560B538B;M28 15X6 5X100 ET38 BLACK;40D       
M281560B538HG;M28 15X6,0 5X100 ET38 HYPER GLOSS;33E       
M281560D438B;M28 15X6 4X108 ET38 BLACK;37E       
M281560D438HG;M28 15X6,0 4X108 ET38 HYPER GLOSS;40D,E     
M281560G438HG;M28 15X6,0 4X114 ET 38 HYPER GLOSS;36D       
M281660A442B;M28 16X6,0 4X98 ET42 BLACK;5D        
M281660A442HG;M28 16X6,0 4X98 ET42 HYPER GLOSS;5E        
M281660B442B;M28 16X6,0 4X100 ET42 BLACK;4E        
M281660B442GS;M28 16X6,0 4X100 ET42 GLOSS SHADOW;6E        
M281660B442HG;M28 16X6,0 4X100 ET42 HYPER GLOSS;5D        
M281660B542B;M28 16X6,0 5X100 ET42 BLACK;7E        
M281660B542HG;M28 16X6,0 5X100 ET42 HYPER GLOSS;7D        
M281660D442B;M28 16X6,0 4X108 ET42 BLACK;3D        
M281660D442HG;M28 16X6,0 4X108 A ET42 HYPER GLOSS;3E        
M281660E542HG;M28 16X6,0 5X110 ET42 HYPER GLOSS;1E        
M281660G442BFD;M28 16X6,0 4X114 ET42 BLACK FOSCO DIAMON;4E        
M281660G442HG;M28 16X6,0 4X114 ET42 HYPER GLOSS;4E        
M281660G542B;M28 16X6,0 5X114 ET42 BLACK;1E        
M281660G542HG;M28 16X6,0 5X114 ET42 HYPER GLOSS;2D        
M291880D5F0B;M29 18X8,0 5X108 F ET0 BLACK;61E       
M291880D5F0GFD;M29 18X8,0 5X108 F ET0 GRAPHITE F DIAMON;60E       
M291880G5K0B;M29 18X8,0 5X114,3 K ET0 BLACK;60D       
M291880G5K0GFD;M29 18X8,0 5X114,3 K ET0 GRAPHITE F DIAM;60D / 60E 
M291880G6H0B;M29 18X8,0 6X114,3 H ET0 BLACK;55E       
M291880G6H0BF;M29 18X8,0 6X114,3 H ET0 BLACK FOSCO;63D       
M291880G6H0GFD;M29 18X8,0 6X114,3 H ET0 GRAPHITE F DIAM;61D       
M291880L5G0GFD;M29 18X8,0 5X120 G ET0 GRAPHITE F DIAMON;
M291880N5L0BF;M29 18X8,0 5X127 L ET0 BLACK FOSCO;60D       
M291880R5U0B;M29 18X8,0 5X139,7 U ET0 BLACK;60E       
M291880R6U0B;M29 18X8,0 6X139,7 U ET0 BLACK;57D       
M291880R6U0BF;M29 18X8,0 6X139,7 U ET0 BLACK FOSCO;63E       
M291880R6U0BFD;M29 18X8,0 6X139,7 U ET0 BLACK FOSCO DIA;62D       
M291880R6U0GF;M29 18X8,0 6X139,7 U ET0 GRAPHITE FOSCO;63D       
M291880R6U0GFD;M29 18X8,0 6X139,7 U ET0 GRAPHITE F DIAM;64D       
M291880R6U0GV;M29 18X8,0 6X139,7 U ET0 GOLD;62E       
M301770A4A41BD;M30 17X7,0 4X98 A ET41 BLACK DIAMOND;43D       
M301770B4A41B;M30 17X7,0 4X100 A ET41 BLACK;49D       
M301770B4A41BD;M30 17X7,0 4X100 A ET41 BLACK DIAMOND;53E       
M301770B4A41GS;M30 17X7,0 4X100 A ET41 GLOSS SHADOW;51E       
M301770B4A41HG;M30 17X7,0 4X100 A ET41 HYPER GLOSS;50E/67D,E 
M301770B5A40B;M30 17X7,0 5X100 A ET40 BLACK;51E       
M301770B5A40BD;M30 17X7,0 5X100 A ET40 BLACK DIAMOND;67D       
M301770B5A40GS;M30 17X7,0 5X100 A ET40 GLOSS SHADOW;67E       
M301770B5A40HG;M30 17X7,0 5X100 A ET40 HYPER GLOSS;52E       
M301770C5A40BD;M30 17X7,0 5X105 A ET40 BLACK DIAMOND;52E       
M301770D4A25BD;M30 17X7,0 4X108 A ET25 BLACK DIAMOND;43D/67E   
M301770D4A25GS;M30 17X7,0 4X108 A ET25 GLOSS SHADOW;43E       
M301770D4A41BD;M30 17X7,0 4X108 A ET41 BLACK DIAMOND;51D       
M301770D5A40BD;M30 17X7,0 5X108 A ET40 BLACK DIAMOND;45D       
M301770E5A30B;M30 17X7,0 5X110 A ET30 BLACK;44E/67E   
M301770E5A30BD;M30 17X7,0 5X110 A ET30 BLACK DIAMOND;65D e 67D 
M301770F5A40BD;M30 17X7,0 5X112 A ET40 BLACK DIAMOND;67E       
M301770G5A40B;M30 17X7,0 5X114,3 A ET40 BLACK;46E/47E   
M301770G5A40BD;M30 17X7,0 5X114 A ET40 BACK DIAMOND;67D       
M301770G5A40GS;M30 17X7,0 5X114,3 A ET40 GLOSS SHADOW;50E       
M301770L5M40BD;M30 17X7,0 5X120 M ET40 BLACK DIAMOND;53D       
M301880A5A30B;M30 18X8,0 5X98 A ET30 BLACK;55E       
M301880A5A30BD;M30 18X8,0 5X98 A ET30 BLACK DIAMOND;8D        
M301880A5A30GS;M30 18X8,0 5X98 A ET30 GLOSS SHADOW;54D       
M301880A5A30HG;M30 18X8,0 5X98 A ET30 HYPER GLOSS;55D       
M301880B4A41BD;M30 18X8,0 4X100 A ET41 BLACK DIAMOND;55D       
M301880B4A41HG;M30 18X8,0 4X100 A ET41 HYPER GLOSS;63E       
M301880B5A40B;M30 18X8,0 5X100 A ET40 BLACK;55E       
M301880B5A40BD;M30 18X8,0 5X100 A ET40 BLACK DIAMOND;55E       
M301880B5A40GS;M30 18X8,0 5X100 A ET40 GLOSS SHADOW;63E       
M301880B5A40HG;M30 18X8,0 5X100 A ET40 HYPER GLOSS;56D       
M301880B5A40LBF;M30 18X8,0 5X100 A ET40 LIP BLACK FOSCO;64D       
M301880C5A40B;M30 18X8,0 5X105 A ET40 BLACK;54E       
M301880C5A40BD;M30 18X8,0 5X105 A ET40 BLACK DIAMOND;55E       
M301880C5A40GS;M30 18X8,0 5X105 A ET40 GLOSS SHADOW;61E       
M301880C5A40HG;M30 18X8,0 5X105 A ET40 HYPER GLOSS;54E       
M301880C5A40LBF;M30 18X8,0 5X105 A ET40 LIP BLACK F;55D       
M301880D4A25BD;M30 18X8,0 4X108 A ET25 BLACK DIAMOND;55E       
M301880D5A40B;M30 18X8,0 5X108 A ET40 BLACK;55D       
M301880D5A40BD;M30 18X8,0 5X108 A ET40 BLACK DIAMOND;55E       
M301880D5A40GS;M30 18X8,0 5X108 A ET40 GLOSS SHADOW;55D       
M301880D5A40HG;M30 18X8,0 5X108 A ET40 HYPER GLOSS;63E       
M301880D5A40LBF;M30 18X8,0 5X108 A ET40 LIP BLACK F;54E       
M301880E5A30B;M30 18X8,0 5X110 A ET30 BLACK;63D / 63E 
M301880E5A30BD;M30 18X8,0 5X110 A ET30 BLACK DIAMOND;56D       
M301880E5A30GS;M30 18X8,0 5X110 A ET30 GLOSS SHADOW;63E       
M301880E5A30HG;M30 18X8,0 5X110 A ET30 HYPER GLOSS;55D       
M301880F5A42B;M30 18X8,0 5X112 A ET42 BLACK;58E       
M301880F5A42BD;M30 18X8,0 5X112 A ET42 BLACK DIAMOND;63D       
M301880F5A42GS;M30 18X8,0 5X112 A ET42 GLOSS SHADOW;62E       
M301880F5A42HG;M30 18X8,0 5X112 A ET42 HYPER GLOSS;54E       
M301880G5A40B;M30 18X8,0 5X114,3 A ET40 BLACK;54D       
M301880G5A40BD;M30 18X8,0 5X114,3 A ET40 BLACK DIAMOND;63D       
M301880G5A40GS;M30 18X8,0 5X114,3 A ET40 GLOSS SHADOW;55D       
M301880G5A40HG;M30 18X8,0 5X114,3 A ET40 HYPER GLOSS;56E       
M301880G5A40LBF;M30 18X8,0 5X114,3 A ET40 LIP BLACK F;55D       
M301880L5M35B;M30 18X8,0 5X120 M ET35 BLACK;55E       
M301880L5M35BD;M30 18X8,0 5X120 M ET35 BLACK DIAMOND;54E       
M301880L5M35GS;M30 18X8,0 5X120 M ET35 GLOSS SHADOW;54E       
M301880L5M35HG;M30 18X8,0 5X120 M ET35 HYPER GLOSS;54E       
M301880L5M35LBF;M30 18X8,0 5X120 M ET35 LIP BLACK F;64E       
M301980A5A30BD;M30 19X8,0 5X98 A ET30 BLACK DIAMOND;58E       
M301980B5A40BD;M30 19X8,0 5X100 A ET40 BLACK DIAMOND;58E       
M301980E5A30B;M30 19X8,0 5X110 A ET30 BLACK;59D       
M301980E5A30BD;M30 19X8,0 5X110 A ET30 BLACK DIAMOND;58E       
M301980F5A27B;M30 19X8,0 5X112 A ET27 BLACK;58E       
M301980F5A27BD;M30 19X8,0 5X112 A ET27 BLACK DIAMOND;C4 E      
M301980F5A42B;M30 19X8,0 5X112 A ET42 BLACK;59D       
M301980F5A42BD;M30 19X8,0 5X112 A ET42 BLACK DIAMOND;59E       
M301980G5A40BD;M30 19X8,0 5X114 A ET40 BLACK DIAMOND;58E       
M301980L5M35B;M30 19X8,0 5X120 M ET35 BLACK;58E       
M301980L5M35BD;M30 19X8,0 5X120 M ET35 BLACK DIAMOND;58D / 58E 
M301990F5A34B;M30 19X9,0 5X112 A ET34 BLACK;59D       
M301990F5A34BD;M30 19X9,0 5X112 A ET34 BLACK DIAMOND;59D       
M301990F5A45B;M30 19X9,0 5X112 A ET45 BLACK;58E       
M301990F5A45BD;M30 19X9,0 5X112 A ET45 BLACK DIAMOND;59D       
M301990L5M42B;M30 19X9,0 5X120 M ET42 BLACK;58E       
M301990L5M42BD;M30 19X9,0 5X120 M ET42 BLACK DIAMOND;58E       
M302080A5A30B;M30 20X8,0 5X98 ET30 A BLACK;C4 E      
M302080A5A30GS;M30 20X8,0 5X98 A ET30 GLOSS SHADOW;C4 D      
M302080B5A40B;M30 20X8,0 5X100 A ET40 BLACK;20D       
M302080B5A40BD;M30 20X8,0 5X100 A ET40 BLACK DIAMOND;C4 D      
M302080B5A40GS;M30 20X8,0 5X100 A ET40 GLOSS SHADOW;C4 D      
M302080B5A40HG;M30 20X8,0 5X100 A ET40 HYPER GLOSS;C4E e 17E 
M302080C5A40B;M30 20X8,0 5X105 A ET40 BLACK;C4 E      
M302080C5A40BD;M30 20X8,0 5X105 A ET40 BLACK DIAMOND;C4 D      
M302080C5A40GS;M30 20X8,0 5X105 A ET40 GLOSS SHADOW;C4 E      
M302080C5A40HG;M30 20X8,0 5X105 A ET40 HYPER GLOSS;C4 E      
M302080D5A40B;M30 20X8,0 5X108 A ET40 BLACK;C4        
M302080D5A40BD;M30 20X8,0 5X108 A ET40 BLACK DIAMOND;C4        
M302080D5A40GS;M30 20X8,0 5X108 A ET40 GLOSS SHADOW;C4        
M302080D5A40HG;M30 20X8,0 5X108 A ET40 HYPER GLOSS;C4 E      
M302080E5A30B;M30 20X8,0 5X110 A ET30 BLACK;16D       
M302080E5A30BD;M30 20X8,0 5X110 A ET30 BLACK DIAMOND;C4D e 16D 
M302080E5A30GS;M30 20X8,0 5X110 A ET30 GLOSS SHADOW;C4        
M302080E5A30LBF;M30 20X8,0 5X110 A ET30 LIP BLACK FOSCO;C4        
M302080F5A42B;M30 20X8,0 5X112 A ET42 BLACK;20D       
M302080F5A42BD;M30 20X8,0 5X112 A ET42 BLACK DIAMOND;16D       
M302080F5A42GS;M30 20X8,0 5X112 A ET42 GLOSS SHADOW;C4 D      
M302080F5A42HG;M30 20X8,0 5X112 A ET42 HYPER GLOSS;20D       
M302080G5A40B;M30 20X8,0 5X114,3 A ET40 BLACK;20D       
M302080G5A40BD;M30 20X8,0 5X114,3 A ET40 BLACK DIAMOND;C4 D      
M302080G5A40HG;M30 20X8,0 5X114,3 A ET40 HYPER GLOSS;C4 D      
M302080G5A40LBF;M30 20X8,0 5X114,3 A ET40 LIP BLACK FOSC;C4 D      
M302080L5M35B;M30 20X8,0 5X120 M ET35 BLACK;20D       
M302080L5M35BD;M30 20X8,0 5X120 M ET35 BLACK DIAMOND;C4 E      
M302080L5M35HG;M30 20X8,0 5X120 M ET35 HYPER GLOSS;C4 E      
M302080L5M35LBF;M30 20X8,0 5X120 M ET35 LIP BLACK FOSCO;C4 D      
M311790G5K5BF;M31 17X9,0 5X114,3 K ET-5 BLACK FOSCO;46D       
M311790G5K5GBL;M31 17X9,0 5X114,3 K ET-5 GOLD BLACK LIP;3D e 67E  
M311790G6H15BF;M31 17X9,0 6X114,3 H ET 15 BLACK FOSCO;65D       
M311790G6H15FGF;M31 17X9,0 6X114,3 H ET 15 FGF;46D/47D   
M311790L5G15BF;M31 17X9,0 5X120 G ET 15 BLACK FOSCO;46E       
M311790L5G15FGF;M31 17X9,0 5X120 G ET 15 FGF;45D/47D   
M311790R6U15BF;M31 17X9,0 6X139,7 U ET 15 BLACK FOSCO;47D e 50E 
M311790R6U15FGF;M31 17X9,0 6X139,7 U ET 15 FGF;46 / 47 /4
M311790R6U15GBL;M31 17X9,0 6X139,7 U ET 15 GOLD BLACK LI;47D,E     
M311790R6U5BF;M31 17X9,0 6X139,7 U ET-5 BLACK FOSCO;44E e 47E 
M311790R6U5FGF;M31 17X9,0 6X139,7 U ET-5 FGF;47 / 48   
M311790R6U5GBL;M31 17X9,0 6X139,7 U ET-5 GOLD BLACK LIP;47D 49 65D
M312090G6H0BF;M31 20X9,0 6X114,3 G ET0 BLACK FOSCO;20E       
M312090G6H0FGF;M31 20X9,0 6X114,3 G ET0 FGF;21D       
M312090L5G0BF;M31 20X9,0 5X120 G ET0 BLACK FOSCO;18D e E   
M312090L5G0FGF;M31 20X9,0 5X120 G ET0 FGF;21D       
M312090R6U-20B;M31 20X9,0 6X139,7 U ET-20 BLACK;21E       
M312090R6U-20BF;M31 20X9,0 6X139,7 U ET-20 BLACK F;21D       
M312090R6U-20FGF;M31 20X9,0 6X139,7 U ET-20 FGF;21D       
M312090R6U0B;M31 20X9,0 6X139 U ET0 BLACK;21E       
M312090R6U0BF;M31 20X9,0 6X139,7 U ET0 BLACK FOSCO;15D/21E   
M312090R6U0BFD;M31 20X9,0 6X139,7 U ET0 BLACK FOSCO DIA;21E       
M312090R6U0FGF;M31 20X9,0 6X139,7 U ET0 FGF;21E       
M312090R6U0GBL;M31 20X9,0 6X139,7 U ET0 GOLD BLACK LIP;21D       
M321560K4A38B;M32 15X6,0 4X98/108 A ET38 BLACK;32E       
M321560K4A38GS;M32 15X6,0 4X98/108 A ET38 GLOSS SHADOW;38D,E     
M321560K4A38HG;M32 15X6,0 4X98/108 A ET38 HYPER GLOSS;40E       
M321560O4A38B;M32 15X6,0 4X100/108 A ET38 BLACK;38D/40E   
M321560O4A38GS;M32 15X6,0 4X100/108 A ET38 GLOSS SHADOW;37E/38D   
M321560O4A38HG;M32 15X6,0 4X100/108 A ET38 HYPER GLOSS;29/30D    
M321560Q5A38B;M32 15X6,0 5X100/110 A ET38 BLACK;27E       
M321560Q5A38HG;M32 15X6,0 5X100/110 A ET38 HYPER GLOSS;38D,E     
M321560Y4A38B;M32 15X6,0 4X100/114,3 A ET38 BLACK;32D       
M321560Y4A38GS;M32 15X6,0 4X100/114 A ET38 GLOSS SHADOW;30D       
M321560Y4A38HG;M32 15X6,0 4X100/114,3 A ET38 H GLOSS;39D,E     
M321760K4A40GS;M32 17X6,0 4X98/108 A ET40 GLOSS SHADOW;45D       
M321760K4A40HG;M32 17X6,0 4X98/108 A ET40 HYPER GLOSS;46D /50D  
M321760O4A40GS;M32 17X6,0 4X100/108 A ET40 GLOSS SHADOW;51E       
M321760O4A40HG;M32 17X6,0 4X100/108 A ET40 HYPER GLOSS;48D / 48E 
M321770K4A38HG;M32 17X7,0 4X98/108 A ET38 HYPER GLOSS;48E       
M321770O4A38B;M32 17X7,0 4X100/108 A ET38 BLACK;48D       
M321770O4A38GS;M32 17X7,0 4X100/108 A ET38 GLOSS SHADOW;47D,E     
M321770O4A38HG;M32 17X7,0 4X100/108 A ET38 HYPER GLOSS;46D,E     
M321770O5A38B;M32 17X7,0 5X100/108 A ET38 BLACK;45E       
M321770O5A38GS;M32 17X7,0 5X100/108 A ET38 GL SHADOW;46D,E     
M321770O5A38HG;M32 17X7,0 5X100/108 A ET38 HYPER GLOSS;47D       
M321770Q5A38B;M32 17X7,0 5X100/110 A ET38 BLACK;47E       
M321770Q5A38GS;M32 17X7,0 5X100/110 A ET38 GLOSS SHADOW;47E       
M321770Q5A38HG;M32 17X7,0 5X100/110 A ET38 HYPER GLOSS;47E       
M321770W5A38B;M32 17X7,0 5X100/112 A ET38 BLACK;45D       
M321770W5A38GS;M32 17X7,0 5X100/112 A ET38 GLOSS SHADOW;46D 47E,D 
M321770W5A38HG;M32 17X7,0 5X100/112 A ET38 HYPER GLOSS;48E       
M321770Y4A38B;M32 17X7,0 4X100/114,3 A ET38 BLACK;47D       
M321770Y4A38GS;M32 17X7,0 4X100/114 A ET38 GLOSS SHADOW;47E       
M321770Y4A38HG;M32 17X7,0 4X100/114,3 A ET38 HYPER GLOS;46D       
M321770Y5A38B;M32 17X7,0 5X100/114,3 A ET38 BLACK;49D,E     
M321770Y5A38GS;M32 17X7,0 5X100/114 A ET38 GLOSS SHADOW;49E       
M321770Y5A38HG;M32 17X7,0 5X100/114,3 A ET38 HYPER GLOS;47E       
M321770Z5A38B;M32 17X7,0 5X100/105 A ET38 BLACK;43E       
M321770Z5A38GS;M32 17X7,0 5X100/105 A ET38 GLOSS SHADOW;47E / 50D 
M321770Z5A38HG;M32 17X7,0 5X100/105 A ET38 HYPER GLOSS;51D       
M331880G6H20BF;M33 18X8,0 6X114,3 H ET 20 BLACK FOSCO;61E       
M331880G6H20FGF;M33 18X8,0 6X114,3 H ET 20 FGF;61E       
M331880G6H20GBL;M33 18X8,0 6X114,3 H ET 20 GOLD BLACK LI;61E       
M331880L5G20BF;M33 18X8,0 5X120 G ET20 BLACK FOSCO;56D e 62D 
M331880L5G20GBL;M33 18X8,0 5X120 G ET20 GOLD BLACK LIP;55D       
M331880N5L20BF;M33 18X8,0 5X127 L ET 20 BLACK FOSCO;61E       
M331880N5L20FGF;M33 18X8,0 5X127 L ET 20 FGF;56E       
M331880R6U20BF;M33 18X8,0 6X139,7 U ET20 BLACK FOSCO;64E       
M331880R6U20FGF;M33 18X8,0 6X139,7 U ET 20 FGF;61E       
M331880R6U20GBL;M33 18X8,0 6X139 U ET20 GOLD BLACK LIP;61E       
M331880R6U5BF;M33 18X8,0 6X139,7 U ET-5 BLACK FOSCO;
M331880R6U5FGF;M33 18X8,0 6X139,7 U ET-5 FGF;63E       
M331880R6U5GBL;M33 18X8,0 6X139,7 U ET-5 GOLD BLACK LIP;63D       
M332085G6H20BF;M33 20X8,5 6X114,3 H ET 20 BLACK FOSCO;16E       
M332085G6H20FGF;M33 20X8,5 6X114,3 H ET 20 FGF;15E       
M332085H620BF;M33 20X8,5 6X135 ET 20 BLACK FOSCO;34D       
M332085L5G20BF;M33 20X8,5 5X120 G ET 20 BLACK FOSCO;20D       
M332085L5G20FGF;M33 20X8,5 5X120 G ET 20 FGF;18D       
M332085L5G20GBL;M33 20X8,5 5X120 G ET 20 GOLD BLACK LIP;21D       
M332085N5L20BF;M33 20X8,5 5X127 L ET 20 BLACK FOSCO;21D       
M332085R6U20B;M33 20X8,5 6X139,7 U ET 20 BLACK;34E       
M332085R6U20BF;M33 20X8,5 6X139,7 U ET 20 BLACK FOSCO;16D       
M332085R6U20FGF;M33 20X8,5 6X139,7 U ET 20 FGF;24D       
M332085R6U20GBL;M33 20X8,5 6X139,7 U ET 20 GOLD BLACK LI;
M332290G6H15BF;M33 22X9,0 6X114,3 H ET15 BLACK FOSCO;34E       
M332290G6H15FGF;M33 22X9,0 6X114,3 H ET15 FGF;35D       
M332290G6H15GBL;M33 22X9,0 6X114,3 H ET15 GOLD BLACK LI;35D       
M332290H615BF;M33 22X9,0 6X135 ET 15 BLACK FOSCO;35E       
M332290H615FGF;M33 22X9,0 6X135 ET 15 FGF;37D       
M332290H615GBL;M33 22X9,0 6X135 ET 15 GOLD BLACK L;35D,E     
M332290L5G15BF;M33 22X9,0 5X120 G ET15 BLACK FOSCO;34D       
M332290L5G15FGF;M33 22X9,0 5X120 G ET15 FGF;34E       
M332290L5G15GBL;M33 22X9,0 5X120 G ET15 GOLD BLACK LIP;34D/35D   
M332290N5L15BF;M33 22X9,0 5X127 L ET15 BLACK FOSCO;35D       
M332290N5L15FGF;M33 22X9,0 5X127 L ET15 FGF;34E       
M332290N5L15GBL;M33 22X9,0 5X127 L ET15 GOLD BLACK LIP;34D       
M332290R6U15BF;M33 22X9,0 6X139,7 U ET15 BLACK FOSCO;35D       
M332290R6U15FGF;M33 22X9,0 6X139,7 U ET 15 FGF;34E       
M332290R6U15GBL;M33 22X9,0 6X139,7 U ET15 GOLD BLACK LIP;34E/35D   
M342080F5I28B;M34 20X8,0 5X112 I ET28 BLACK;17E       
M342080F5I28GS;M34 20X8,0 5X112 I ET28 GLOSS SHADOW;18D       
M342080F5I28HG;M34 20X8,0 5X112 I ET28 HYPER GLOSS;18E       
M342080J5A30B;M34 20X8,0 5X98/110 A ET30 BLACK;17E       
M342080J5A30GS;M34 20X8,0 5X98/110 A ET30 GLOSS SHADOW;18D       
M342080J5A30HG;M34 20X8,0 5X98/110 A ET30 HYPER GLOSS;19E       
M342080L5M35B;M34 20X8,0 5X120 M ET35 BLACK;18D       
M342080L5M35GS;M34 20X8,0 5X120 M ET35 GLOSS SHADOW;17E       
M342080L5M35HG;M34 20X8,0 5X120 M ET35 HYPER GLOSS;16D       
M342080O4A40B;M34 20X8,0 4X100/108 A ET40 BLACK;19D       
M342080O4A40GS;M34 20X8,0 4X100/108 A ET40 GLOSS SHADOW;19D       
M342080O4A40HG;M34 20X8,0 4X100/108 A ET40 HYPER GL;19E       
M342080O5A40B;M34 20X8,0 5X100/108 A ET40 BLACK;17D       
M342080O5A40GS;M34 20X8,0 5X100/108 A ET40 GLOSS SHADOW;20E       
M342080O5A40HG;M34 20X8,0 5X100/108 A ET40 HYPER GLOSS;17D       
M342080W5A40B;M34 20X8,0 5X100/5X112 A ET40 BLACK;18D       
M342080W5A40GS;M34 20X8,0 5X100/112 A ET40 GLOSS SHADOW;17E       
M342080W5A40HG;M34 20X8,0 5X100/112 A ET40 HYPER GLOSS;21D       
M342080Y5A40B;M34 20X8,0 5X100/114,3 A ET40 BLACK;17D       
M342080Y5A40GS;M34 20X8,0 5X100/114 A ET40 GLOS SHADOW;16D       
M342080Y5A40HG;M34 20X8,0 5X100/114,3 A ET40 HYPER GLOS;17D       
M342080Z5A40B;M34 20X8,0 5X100/105 A ET40 BLACK;16D       
M342080Z5A40GS;M34 20X8,0 5X100/105 A ET40 GLOSS SHADOW;18E       
M342080Z5A40HG;M34 20X8,0 5X100/105 A ET40 HYPER GLOSS;18D       
M351885D5F0B;M35 18X8,5 5X108 F ET 0 BLACK;56E       
M351885G5K0B;M35 18X8,5 5X114,3 K ET 0 BLACK;56E       
M351885G6H0B;M35 18X8,5 6X114,3 H ET 0 BLACK;56E       
M351885L5G0B;M35 18X8,5 5X120 G ET 0 BLACK;56E       
M351885N5L0B;M35 18X8,5 5X127 L ET 0 BLACK;56E       
M351885R5U0B;M35 18X8,5 5X139,7 U ET 0 BLACK;
M351885R6U0B;M35 18X8,5 6X139,7 U ET 0 BLACK;56E       
M351885R6U0GV;M35 18X8,5 6X139 U ET0 GOLD VITORIA;56D       
M361940D5F7B;M36 19X4,0 5X108 F ET7 BLACK;59D       
M361940F5I7B;M36 19X4,0 5X112 I ET7 BLACK;59D       
M361940G5I7B;M36 19X4,0 5X114,3 I ET7 BLACK;59D       
M361940L5O7B;M36 19X4,0 5X120 O ET7 BLACK;
M372090G6H20BF;M37 20X9,0 6X114,3 H ET20 BLACK FOSCO;34D       
M372090G6H20GF;M37 20X9,0 6X114,3 H ET20 GRAPHITE FOSCO;
M372090H620BF;M37 20X9,0 6X135 ET20 BLACK FOSCO;34D       
M372090L5G20B;M37 20X9,0 5X120 G ET20 BLACK;34D       
M372090L5G20BF;M37 20X9,0 5X120 G ET20 BLACK FOSCO;21E       
M372090L5G20GF;M37 20X9,0 5X120 G ET20 GRAPHITE FOSCO;16D e 34D 
M372090N5L20B;M37 20X9,0 5X127 L ET20 BLACK;18D       
M372090N5L20BF;M37 20X9,0 5X127 L ET20 BLACK FOSCO;
M372090R6U20B;M37 20X9,0 6X139,7 U ET20 BLACK;34D       
M372090R6U20BF;M37 20X9,0 6X139,7 U ET20 BLACK FOSCO;24D       
M372090R6U20GF;M37 20X9,0 6X139,7 U ET20 GRAPHITE FOSCO;
M372090R6U20GV;M37 20X9,0 6X139,7 U ET20 GOLD;
M372090R6U20HG;M37 20X9,0 6X139,7 U ET20 HYPER GLOSS;34E       
M471570B430HD;M47 15X7,0 4X100 ET30 HYPER DIAMOND;
M501570G50CR;M50 15X7,0 5X114 ET0 CROMADA;
M501570G525CR;M50 15X7,0 5X114 ET25 CROMADA;
M501570G525HD;M50 15X7,0 5X114 ET25 HYPER DIAMOND;C1 e C5   
M501570R50CR;M50 15X7,0 5X139 ET0 CROMADA;
M501570R50HD;M50 15X7,0 5X139 ET0 HYPER DIAMOND;C1        
M51560B4A38HG;M5 15X6,0 4X100 A ET38 HYPER GLOSS;26E       
M51570E5G40HG;M5 15X7,0 5X110 G ET40 HYPER GLOSS;25D       
M51760B442HG;M5 17X6,0 4X100 ET42 HYPER GLOSS;47E e 48D 
M51770B440HG;M5 17X7,0 4X100 ET40 HYPER GLOSS;53E       
M51770E540HG;M5 17X7,0 5X110 ET40 HYPER GLOSS;50D / 52E 
M61570B432BD;M6 15X7,0 4X100 ET32 BLACK DIAMOND;24E       
M61570B432HD;M6 15X7,0 4X100 ET32 HYPER DIAMOND;24E       
M61570F532HD;M6 15X7,0 5X112 ET32 HYPER DIAMOND;25E       
